locationId,dateTime,indicatorId,value
3773,2014-12-14T17:13:00,gamma,162
3773,2014-12-24T13:04:00,gamma,162
3773,2014-12-16T23:03:00,gamma,162
3773,2014-12-24T22:05:00,gamma,163
3773,2014-12-26T05:31:00,gamma,162
3773,2014-12-17T06:33:00,gamma,162
3773,2014-12-13T10:49:00,gamma,158
3773,2014-12-26T10:35:00,gamma,163
3773,2014-12-17T14:40:00,gamma,162
3773,2014-12-20T11:38:00,gamma,158
3773,2014-12-15T21:37:00,gamma,158
3773,2014-12-27T14:58:00,gamma,163
3773,2014-12-17T20:45:00,gamma,162
3773,2014-12-20T23:47:00,gamma,158
3773,2014-12-17T22:46:00,gamma,158
3773,2014-12-30T17:00:00,gamma,163
3773,2014-12-18T07:54:00,gamma,162
3773,2014-12-21T06:52:00,gamma,158
3773,2014-12-18T11:59:00,gamma,158
3773,2014-12-11T07:30:12,gamma,159
3773,2014-12-25T01:08:00,gamma,158
3773,2014-12-21T08:55:00,gamma,158
3773,2014-12-18T17:03:00,gamma,158
3773,2014-12-11T16:30:42,gamma,159
3773,2014-12-25T14:00:00,gamma,158
3773,2014-12-22T13:18:00,gamma,158
3773,2014-12-19T18:24:00,gamma,158
3773,2014-12-11T20:00:28,gamma,159
3773,2014-12-26T11:42:00,gamma,158
3773,2014-12-22T16:20:00,gamma,158
3773,2014-12-19T20:25:00,gamma,158
3773,2014-12-23T18:43:00,gamma,159
3773,2014-12-14T15:12:00,gamma,159
3773,2014-12-27T00:47:00,gamma,158
3773,2014-12-22T20:59:00,gamma,158
3773,2014-12-20T03:31:00,gamma,158
3773,2014-12-25T05:00:00,gamma,159
3773,2014-12-15T16:38:00,gamma,159
3773,2014-12-28T04:09:00,gamma,158
3773,2014-12-23T03:30:00,gamma,158
3773,2014-12-19T00:09:00,gamma,175
3773,2014-12-26T13:38:00,gamma,159
3773,2014-12-16T14:51:00,gamma,159
3773,2014-12-28T06:11:00,gamma,158
3773,2014-12-23T22:46:00,gamma,158
3773,2014-12-12T05:00:12,gamma,173
3773,2014-12-28T02:08:00,gamma,159
3773,2014-12-16T21:03:00,gamma,159
3773,2014-12-28T09:13:00,gamma,158
3773,2014-12-24T19:02:00,gamma,158
3773,2014-12-29T11:36:00,gamma,173
3773,2014-12-28T14:18:00,gamma,159
3773,2014-12-20T05:32:00,gamma,159
3773,2014-12-28T15:19:00,gamma,158
3773,2014-12-28T16:01:00,gamma,159
3773,2014-12-21T20:04:00,gamma,159
3773,2014-12-28T22:02:00,gamma,158
3773,2014-12-19T09:16:00,gamma,164
3773,2014-12-29T00:26:00,gamma,159
3773,2014-12-22T23:27:00,gamma,159
3773,2014-12-30T14:58:00,gamma,158
3773,2014-12-21T10:57:00,gamma,164
3773,2014-12-21T16:02:00,gamma,164
3773,2014-12-22T18:23:00,gamma,164
3773,2014-12-12T04:30:12,gamma,164
3773,2014-12-24T08:37:00,gamma,164
3773,2014-12-13T21:03:00,gamma,164
3773,2014-12-28T10:16:00,gamma,164
3773,2014-12-15T06:24:00,gamma,164
3773,2014-12-24T20:03:00,gamma,174
3773,2014-12-29T15:39:00,gamma,164
3773,2014-12-17T04:31:00,gamma,164
3773,2014-12-30T21:10:00,gamma,164
3773,2014-12-11T04:30:18,gamma,178
3773,2014-12-16T03:41:00,gamma,178
3773,2014-12-19T21:25:00,gamma,174
3773,2014-12-11T09:30:18,gamma,165
3773,2014-12-16T05:43:00,gamma,163
3773,2014-12-11T10:30:36,gamma,160
3773,2014-12-16T19:27:00,gamma,176
3773,2014-12-11T12:10:24,gamma,165
3773,2014-12-17T02:31:00,gamma,163
3773,2014-12-18T03:51:00,gamma,160
3773,2014-12-11T12:30:31,gamma,160
3773,2014-12-21T03:51:00,gamma,176
3773,2014-12-16T02:41:00,gamma,165
3773,2014-12-17T16:41:00,gamma,163
3773,2014-12-18T09:56:00,gamma,160
3773,2014-12-14T22:17:00,gamma,160
3773,2014-12-17T13:39:00,gamma,165
3773,2014-12-20T13:39:00,gamma,163
3773,2014-12-19T02:10:00,gamma,160
3773,2014-12-15T13:29:00,gamma,160
3773,2014-12-18T14:00:00,gamma,165
3773,2014-12-25T15:00:00,gamma,160
3773,2014-12-19T15:21:00,gamma,160
3773,2014-12-15T19:36:00,gamma,160
3774,2014-12-26T04:40:00,gamma,670
3773,2014-12-20T15:40:00,gamma,165
3773,2014-12-26T00:00:00,gamma,160
3773,2014-12-19T21:14:00,gamma,160
